Neighbourhood_Code_1,Neighbourhood_Code_2,Neighbourhood_Name,Rent_Zone_Code_equivalent
1,001,Point Grey,5
2,002,Kitsilano,5
3,003,Dunbar,5
4,004,Arbutus Ridge-Mackenzie Heights,6
5,005,Kerrisdale,6
6,006,Southlands,6
7,007,Fairview,7
8,008,Shaughnessy,5
9,009,Cambie,6
10,010,South Granville,4
11,011,Oakridge,6
12,012,Marpole,7
13,013,Mount Pleasant,8
14,014,Grandview,9
15,015,Cedar Cottage,8
16,016,Main & Fraser,8
17,017,South Vancouver,10
18,018,Marine Drive,10
19,019,Knight,8
20,020,Hastings East,9
21,021,Renfrew,8
22,022,Renfrew Heights,8
23,023,Collingwood,8
24,024,Killarney,10
25,025,Fraserview,10
26,026,Downtown,3
27,027,West End,1
28,028,Coal Harbour,3
29,029,Downtown South,3
30,030,False Creek North,3
