Rent_Zone_Code,Rent_Zone_Name
1,West End/Stanley Park
2,English Bay
3,Downtown
4,South Granville/Oak
5,Kitsilano/Point Grey
6,Westside/Kerrisdale
7,Marpole
8,Mount Pleasant/Renfrew Heights
9,East Hastings
10,Southeast Vancouver
11,University Endowment Lands
12,Central Park/Metrotown
13,Southeast Burnaby
14,North Burnaby
15,New Westminster
16,North Vancouver CY
17,North Vancouver DM
18,West Vancouver
19,Richmond
20,Delta
21,Surrey
22,White Rock
23,Langley City and Langley DM
24,Tri-Cities
25,Maple Ridge/Pitt Meadows
